fecha,anio,mes,linea,afluencia
2005-11-09,2005,Noviembre,Línea 1,230497.0
2005-11-10,2005,Noviembre,Línea 1,227223.0
2005-11-11,2005,Noviembre,Línea 1,235139.0
2005-11-12,2005,Noviembre,Línea 1,136907.0
2005-11-13,2005,Noviembre,Línea 1,66944.0
2005-11-14,2005,Noviembre,Línea 1,237957.0
2005-11-15,2005,Noviembre,Línea 1,233278.0
2005-11-16,2005,Noviembre,Línea 1,231373.0
2005-11-17,2005,Noviembre,Línea 1,240167.0
2005-11-18,2005,Noviembre,Línea 1,237030.0
2005-11-19,2005,Noviembre,Línea 1,137233.0
2005-11-20,2005,Noviembre,Línea 1,65695.0
2005-11-21,2005,Noviembre,Línea 1,220687.0
2005-11-22,2005,Noviembre,Línea 1,233665.0
2005-11-23,2005,Noviembre,Línea 1,241269.0
2005-11-24,2005,Noviembre,Línea 1,237822.0
2005-11-25,2005,Noviembre,Línea 1,243386.0
2005-11-26,2005,Noviembre,Línea 1,108038.0
2005-11-27,2005,Noviembre,Línea 1,91846.0
2005-11-28,2005,Noviembre,Línea 1,235465.0
2005-11-29,2005,Noviembre,Línea 1,232591.0
2005-11-30,2005,Noviembre,Línea 1,248064.0
2005-12-01,2005,Diciembre,Línea 1,241326.0
2005-12-02,2005,Diciembre,Línea 1,257589.0
2005-12-03,2005,Diciembre,Línea 1,140334.0
2005-12-04,2005,Diciembre,Línea 1,69172.0
2005-12-05,2005,Diciembre,Línea 1,244344.0
2005-12-06,2005,Diciembre,Línea 1,235378.0
2005-12-07,2005,Diciembre,Línea 1,236155.0
2005-12-08,2005,Diciembre,Línea 1,240949.0
2005-12-09,2005,Diciembre,Línea 1,257655.0
2005-12-10,2005,Diciembre,Línea 1,139220.0
2005-12-11,2005,Diciembre,Línea 1,64149.0
2005-12-12,2005,Diciembre,Línea 1,191673.0
2005-12-13,2005,Diciembre,Línea 1,239942.0
2005-12-14,2005,Diciembre,Línea 1,238186.0
2005-12-15,2005,Diciembre,Línea 1,264288.0
2005-12-16,2005,Diciembre,Línea 1,258152.0
2005-12-17,2005,Diciembre,Línea 1,127259.0
2005-12-18,2005,Diciembre,Línea 1,71348.0
2005-12-19,2005,Diciembre,Línea 1,217282.0
2005-12-20,2005,Diciembre,Línea 1,225846.0
2005-12-21,2005,Diciembre,Línea 1,219905.0
2005-12-22,2005,Diciembre,Línea 1,204220.0
2005-12-23,2005,Diciembre,Línea 1,186059.0
2005-12-24,2005,Diciembre,Línea 1,69584.0
2005-12-25,2005,Diciembre,Línea 1,54298.0
2005-12-26,2005,Diciembre,Línea 1,147057.0
2005-12-27,2005,Diciembre,Línea 1,146672.0
2005-12-28,2005,Diciembre,Línea 1,152093.0
2005-12-29,2005,Diciembre,Línea 1,155563.0
2005-12-30,2005,Diciembre,Línea 1,146781.0
2005-12-31,2005,Diciembre,Línea 1,93486.0
2006-01-01,2006,Enero,Línea 1,28080.0
2006-01-02,2006,Enero,Línea 1,165127.0
