stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_0200LB-CIUDADAZTECA,Ciudad Azteca,19.53451,-99.02751,0200LB-CIUDADAZTECA,1
B_0200LA-LAPAZ,La Paz,19.35056,-98.96094,0200LA-LAPAZ,1
B_0200LA-LOSREYES,Los Reyes,19.35904,-98.97687,0200LA-LOSREYES,2
B_0200LA-STAMARTA,Santa Marta,19.36031,-98.99518,0200LA-STAMARTA,1
B_0200LA-ACATITLA,Acatitla,19.36472,-99.00567,0200LA-ACATITLA,2
B_0200LA-PENONVIEJO,Penón Viejo,19.37331,-99.01705,0200LA-PENONVIEJO,2
B_0200LA-GUELATAO,Guelatao,19.38515,-99.03566,0200LA-GUELATAO,2
B_0200LA-TEPALCATES,Tepalcates,19.39128,-99.04633,0200LA-TEPALCATES,1
B_0200LA-CANALSANJUAN,Canal de San Juan,19.39876,-99.05942,0200LA-CANALSANJUAN,2
B_0200LA-AGRICOLA,Agrícola Oriental,19.40462,-99.06957,0200LA-AGRICOLA,2
B_0200LA-PANTITLAN,Pantitlán,19.4153,-99.07192,0200LA-PANTITLAN,1
B_0200L9-PANTITLAN,Pantitlán,19.41535,-99.07221,0200L9-PANTITLAN,1
B_0200L9-PUEBLA,Puebla,19.40719,-99.08239,0200L9-PUEBLA,2
B_0200L9-CIUDADDVA,Ciudad Deportiva,19.40843,-99.09125,0200L9-CIUDADDVA,1
B_0200L9-VELODROMO,Velódromo,19.40854,-99.10316,0200L9-VELODROMO,1
B_0200L9-MIXIUHCA,Mixiuhca,19.40837,-99.11297,0200L9-MIXIUHCA,2
B_0200L9-JAMAICA,Jamaica,19.4091,-99.12235,0200L9-JAMAICA,2
B_0200L9-CHABACANO,Chabacano,19.40851,-99.13397,0200L9-CHABACANO,1
B_0200L9-LAZAROCAR,Lázaro Cárdenas,19.40722,-99.14463,0200L9-LAZAROCAR,2
B_0200L9-CENTROMEDICO,Centro Médico,19.40656,-99.15603,0200L9-CENTROMEDICO,1
B_0200L9-CHILPANCINGO,Chilpancingo,19.40593,-99.16852,0200L9-CHILPANCINGO,2
B_0200L9-PATRIOTISMO,Patriotismo,19.40611,-99.17892,0200L9-PATRIOTISMO,2
B_0200L9-TACUBAYA,Tacubaya,19.40146,-99.18776,0200L9-TACUBAYA,2
B_0200L8-CONST1917,Constitución de 1917,19.34597,-99.0638,0200L8-CONST1917,1
B_0200L8-UAM-I,UAM-I,19.35106,-99.07482,0200L8-UAM-I,2
B_0200L8-CERROESTRELLA,Cerro de la Estrella,19.35605,-99.08562,0200L8-CERROESTRELLA,2
B_0200L8-IZTAPALAPA,Iztapalapa,19.35783,-99.09345,0200L8-IZTAPALAPA,2
B_0200L8-ATLALILCO,Atlalilco,19.35608,-99.10131,0200L8-ATLALILCO,1
B_0200L8-ESCUADRON,Escuadrón 201,19.36484,-99.10948,0200L8-ESCUADRON,2
B_0200L8-ACULCO,Aculco,19.37321,-99.1077,0200L8-ACULCO,2
B_0200L8-APATLACO,Apatlaco,19.3791,-99.10949,0200L8-APATLACO,2
B_0200L8-IZTACALCO,Iztacalco,19.38829,-99.11211,0200L8-IZTACALCO,1
B_0200L8-COYUYA,Coyuya,19.3983,-99.11348,0200L8-COYUYA,1
B_0200L8-STAANITA,Santa Anita,19.40412,-99.12066,0200L8-STAANITA,2
B_0200L8-LAVIGA,La Viga,19.40671,-99.12627,0200L8-LAVIGA,2
B_0200L8-CHABACANO,Chabacano,19.41021,-99.13375,0200L8-CHABACANO,1
B_0200L8-OBRERA,Obrera,19.41324,-99.14404,0200L8-OBRERA,2
B_0200L8-DOCTORES,Doctores,19.42155,-99.14319,0200L8-DOCTORES,2
B_0200L8-SALTOAGUA,Salto del Agua,19.42772,-99.14185,0200L8-SALTOAGUA,2
B_0200L8-SANJUANLETRAN,San Juan de Letrán,19.43158,-99.14125,0200L8-SANJUANLETRAN,2
B_0200L8-BELLASARTES,Bellas Artes,19.43701,-99.14042,0200L8-BELLASARTES,2
B_0200L8-GARIBALDI,Garibaldi y Lagunilla,19.44400000000001,-99.139,0200L8-GARIBALDI,2
B_0200L7-BARRANCA,Barranca del Muerto,19.3615,-99.18926,0200L7-BARRANCA,2
B_0200L7-MIXCOAC,Mixcoac,19.37626,-99.18758,0200L7-MIXCOAC,2
B_0200L7-SANANTONIO,San Antonio,19.38434,-99.18661,0200L7-SANANTONIO,2
B_0200L7-SANPEDROPINOS,San Pedro de los Pinos,19.39149,-99.18581,0200L7-SANPEDROPINOS,2
B_0200L7-TACUBAYA,Tacubaya,19.40219,-99.18675,0200L7-TACUBAYA,2
B_0200L7-CONSTITUYENTES,Constituyentes,19.41177,-99.19135,0200L7-CONSTITUYENTES,2
B_0200L7-AUDITORIO,Auditorio,19.42576,-99.19203,0200L7-AUDITORIO,2
B_0200L7-POLANCO,Polanco,19.43355,-99.19093,0200L7-POLANCO,2
B_0200L7-SANJOAQUIN,San Joaquín,19.44501,-99.19177,0200L7-SANJOAQUIN,2
B_0200L7-TACUBA,Tacuba,19.45823,-99.18717,0200L7-TACUBA,2
B_0200L7-REFINERIA,Refinería,19.46947,-99.19051,0200L7-REFINERIA,2
B_0200L7-CAMARONES,Camarones,19.47911,-99.19004,0200L7-CAMARONES,2
B_0200L7-AQUILESSERD,Aquiles Serdán,19.49064,-99.19535,0200L7-AQUILESSERD,2
B_0200L7-ELROSARIO,El Rosario,19.50474,-99.20012,0200L7-ELROSARIO,1
B_0200L6-MARTINCARR,Martín Carrera,19.48294,-99.10748,0200L6-MARTINCARR,2
B_0200L6-LAVILLA,La Villa y Basílica,19.48174,-99.11837,0200L6-LAVILLA,2
B_0200L6-DTVO18MARZO,Deportivo 18 de Marzo,19.48348,-99.1253,0200L6-DTVO18MARZO,2
B_0200L6-LINDAVISTA,Lindavista,19.48811,-99.13507,0200L6-LINDAVISTA,2
B_0200L6-ITOPETROLEO,Instituto del Petróleo,19.49104,-99.14813,0200L6-ITOPETROLEO,2
B_0200L6-VALLEJO,Vallejo,19.48985,-99.156,0200L6-VALLEJO,2
B_0200L6-NORTE45,Norte 45,19.48867000000001,-99.16299,0200L6-NORTE45,2
B_0200L6-FERRERIA,Ferrería y Arena Ciudad de México,19.49067,-99.17415,0200L6-FERRERIA,2
