nombre,lat,lon,network,operator
Santa María Chiconautla,19.6296379,-99.0042587,Línea 4,Mexibús
Margarito F. Ayala,19.6316604,-99.019125,Línea 4,Mexibús
25 Loma Bonita,19.6683038,-99.0039872,Mexibús Línea 1,Transmasivo
26 Ozumbilla,19.6807748,-98.9955864,Mexibús Línea 1,Transmasivo
27 San Francisco,19.688488,-98.9882816,Mexibús Línea 1,Transmasivo
Quetzalcóatl,19.7005268,-98.9802432,Mexibús Línea 1,Transmasivo
28 Tecámac,19.7114831,-98.9749544,Mexibús Línea 1,Transmasivo
29 Glorieta Militar,19.749264,-98.9777656,Mexibús Línea 1,Transmasivo
32 Terminal de Pasajeros,19.7361035,-99.0268059,Mexibús Línea 1,Transmasivo
La Redonda,19.7349341,-98.9717298,Mexibús Línea 1,Transmasivo
Veracruz,19.5934292,-99.0212059,Mexibús Línea 2,SITRAMYTEM
Matamoros,19.5957077,-99.0197087,Mexibús Línea 2,SITRAMYTEM
Monumento a la Familia,19.6040273,-99.0145315,Mexibús Línea 2,SITRAMYTEM
Río de los Remedios,19.5064178,-99.0859087,Mexibús Línea 2,SITRAMYTEM
León de los Aldama,19.5019765,-99.0738912,Mexibús Línea 2,SITRAMYTEM
Centro Cultural,19.5790931,-99.0228146,Mexibús Línea 2,SITRAMYTEM
Paseo Ventura,19.5828491,-99.0207558,Mexibús Línea 2,SITRAMYTEM
Libertadores de America,19.5866424,-99.0216265,Mexibús Línea 2,SITRAMYTEM
Lechería (Servicio Exprés),19.598438,-99.1846954,Mexibús Línea 2,
